 Length, Height, Width, Omnivariance, Class
1.619,1.22,1.479,0.1064,1
1.204,1.09,1.693,0.1165,1
1.34,1.22,1.834,0.1393,1
1.364,1.12,1.661,0.131,1
1.45,1.18,1.944,0.1353,1
2.448,1.09,1.6,0.157,1
1.912,1.09,1.251,0.1314,1
1.457,1.23,1.767,0.1418,1
1.24,1.09,1.856,0.1326,1
2.214,1.22,1.662,0.1621,1
2.484,1.22,1.696,0.1667,1
1.925,1.1,1.65,0.1213,1
1.957,1.08,1.55,0.1286,1
2.46,1.08,1.601,0.1525,1
1.945,1.09,1.344,0.1303,1
1.682,1.22,2.533,0.1624,1
1.317,1.1,1.961,0.1304,1
1.945,1.09,1.827,0.1338,1
2.368,1.09,1.607,0.1598,1
2.487,1.21,1.639,0.1631,1
1.781,1.22,2.526,0.1672,1
1.879,1.09,2.254,0.1602,1
2.297,1.24,1.646,0.1654,1
1.769,1.1,1.63,0.1247,1
2.045,1.22,1.882,0.166,1
1.727,1.09,1.591,0.1272,1
2.207,1.23,1.676,0.1609,1
1.272,1.08,1.718,0.1279,1
1.807,1.09,1.811,0.131,1
2.511,1.23,1.694,0.1657,1
1.568,1.09,1.66,0.1284,1
1.984,1.22,2.02,0.1626,1
2.43,1.09,1.906,0.1525,1
1.932,1.08,1.573,0.1286,1
1.542,1.09,2.504,0.1563,1
1.755,1.09,1.682,0.133,1
1.737,1.09,1.623,0.132,1
1.858,1.08,1.195,0.1299,1
1.635,1.08,1.413,0.1294,1
1.502,1.09,1.809,0.1312,1
2.53,1.23,1.742,0.1622,1
1.373,1.09,1.984,0.1291,1
1.394,1.09,2.47,0.128,1
1.608,1.08,1.839,0.1266,1
1.271,1.1,1.676,0.1232,1
1.581,1.22,1.651,0.1363,1
2.471,1.22,1.689,0.1652,1
1.42,1.09,1.898,0.1371,1
2.249,1.09,1.74,0.1471,1
1.593,1.09,1.774,0.1323,1
1.639,1.24,2.161,0.168,1
1.706,1.08,1.335,0.1296,1
2.011,1.09,1.896,0.1478,1
2.518,1.22,1.735,0.1622,1
2.431,1.31,1.697,0.1709,1
2.178,1.1,1.784,0.143,1
1.627,1.22,2.198,0.1652,1
1.246,1.09,1.81,0.1303,1
1.761,1.09,1.587,0.1309,1
2.433,1.22,1.69,0.1632,1
2.487,1.24,1.653,0.1644,1
2.268,1.22,1.811,0.1641,1
1.884,1.08,1.749,0.1301,1
2.307,1.08,1.6,0.1486,1
1.858,1.22,1.403,0.1379,1
1.528,1.22,1.6,0.1381,1
1.665,1.22,1.799,0.1386,1
1.934,1.08,1.559,0.1298,1
2.324,1.22,1.676,0.1634,1
1.85,1.09,1.319,0.1319,1
2.164,1.22,1.679,0.1653,1
